entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
15:05,OTM1,0.25,,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.25,,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.25,0.3,,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.3,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.3,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.25,0.3,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.25,0.35,,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.35,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.35,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.25,0.35,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.25,0.4,,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.4,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.25,0.4,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.25,0.4,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.3,,,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,,0.1,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,,0.2,9,6,67,125925,24900,-18252
15:05,OTM1,0.3,,0.3,7,6,86,155423,54398,-15672
15:05,OTM1,0.3,0.3,,10,6,60,127930,26905,-18252
15:05,OTM1,0.3,0.3,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.3,0.3,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.3,0.3,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.3,0.35,,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,0.35,0.1,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,0.35,0.2,9,6,67,125925,24900,-18252
15:05,OTM1,0.3,0.35,0.3,7,6,86,155423,54398,-15672
15:05,OTM1,0.3,0.4,,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,0.4,0.1,11,7,64,138941,37916,-18252
15:05,OTM1,0.3,0.4,0.2,9,6,67,125925,24900,-18252
15:05,OTM1,0.3,0.4,0.3,7,6,86,155423,54398,-15672
15:05,ATM,,,,12,6,50,109081,21091,-13591
15:05,ATM,,,0.1,12,6,50,109081,21091,-13591
15:05,ATM,,,0.2,12,6,50,109081,21091,-13591
