ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-03 11:05:00,ATM-2,CE,76400.0,76640.7,690.0,12680,25260,10.954127
2026-09-03 11:05:00,ATM-1,CE,76500.0,76640.7,625.0,5040,172140,10.857745
2026-09-03 11:05:00,ATM,CE,76600.0,76640.7,564.25,13620,27600,10.787586
2026-09-03 11:05:00,ATM+1,CE,76700.0,76640.7,508.75,14260,49200,10.763005
2026-09-03 11:05:00,ATM+2,CE,76800.0,76640.7,453.5,13460,83420,10.664763
2026-09-03 11:05:00,ATM+3,CE,76900.0,76640.7,404.4,33820,67300,10.629418
2026-09-03 11:05:00,ATM-3,PE,76300.0,76640.7,280.0,4700,40940,11.376031
2026-09-03 11:05:00,ATM-2,PE,76400.0,76640.7,313.4,25860,48740,11.309084
2026-09-03 11:05:00,ATM-1,PE,76500.0,76640.7,349.0,15740,193960,11.223432
2026-09-03 11:05:00,ATM,PE,76600.0,76640.7,390.85,29400,55460,11.212978
2026-09-03 11:05:00,ATM+1,PE,76700.0,76640.7,430.8,35780,62680,11.08202
2026-09-03 11:05:00,ATM+2,PE,76800.0,76640.7,477.45,17900,79880,11.031478
2026-09-03 11:05:00,ATM+3,PE,76900.0,76640.7,530.0,27700,58420,11.040659
2026-09-03 11:10:00,ATM-3,CE,76300.0,76633.66,750.0,1240,17500,10.9697
2026-09-03 11:10:00,ATM-2,CE,76400.0,76633.66,699.3,7000,26280,11.296361
2026-09-03 11:10:00,ATM-1,CE,76500.0,76633.66,630.3,15560,173380,11.090514
2026-09-03 11:10:00,ATM,CE,76600.0,76633.66,561.55,7020,28980,10.821754
2026-09-03 11:10:00,ATM+1,CE,76700.0,76633.66,510.2,9100,49920,10.888241
2026-09-03 11:10:00,ATM+2,CE,76800.0,76633.66,455.1,8640,87020,10.78737
2026-09-03 11:10:00,ATM+3,CE,76900.0,76633.66,402.65,26820,66620,10.6683
2026-09-03 11:10:00,ATM-3,PE,76300.0,76633.66,279.2,4740,41220,11.296964
2026-09-03 11:10:00,ATM-2,PE,76400.0,76633.66,313.5,28420,48560,11.249275
2026-09-03 11:10:00,ATM-1,PE,76500.0,76633.66,347.95,28640,200060,11.132118
2026-09-03 11:10:00,ATM,PE,76600.0,76633.66,387.45,14280,56140,11.062283
2026-09-03 11:10:00,ATM+1,PE,76700.0,76633.66,432.7,22600,60280,11.051364
2026-09-03 11:10:00,ATM+2,PE,76800.0,76633.66,475.35,12160,77840,10.902108
2026-09-03 11:10:00,ATM+3,PE,76900.0,76633.66,527.65,13480,60500,10.899335
2026-09-03 11:15:00,ATM-3,CE,76400.0,76713.13,725.0,1000,26380,10.665785
2026-09-03 11:15:00,ATM-2,CE,76500.0,76713.13,658.7,6080,173260,10.601726
2026-09-03 11:15:00,ATM-1,CE,76600.0,76713.13,594.95,8160,30600,10.522455
2026-09-03 11:15:00,ATM,CE,76700.0,76713.13,536.0,9360,56900,10.478721
2026-09-03 11:15:00,ATM+1,CE,76800.0,76713.13,479.05,7440,88400,10.401225
2026-09-03 11:15:00,ATM+2,CE,76900.0,76713.13,427.45,5780,66840,10.366631
2026-09-03 11:15:00,ATM+3,CE,77000.0,76713.13,378.0,36420,344540,10.298916
2026-09-03 11:15:00,ATM-3,PE,76400.0,76713.13,288.65,5060,46940,11.345541
2026-09-03 11:15:00,ATM-2,PE,76500.0,76713.13,318.2,17880,200720,11.16496
2026-09-03 11:15:00,ATM-1,PE,76600.0,76713.13,356.5,13800,57800,11.126483
2026-09-03 11:15:00,ATM,PE,76700.0,76713.13,396.6,19940,60780,11.055202
2026-09-03 11:15:00,ATM+1,PE,76800.0,76713.13,440.1,12280,74580,10.987557
2026-09-03 11:15:00,ATM+2,PE,76900.0,76713.13,490.0,8380,61360,10.99149
2026-09-03 11:15:00,ATM+3,PE,77000.0,76713.13,537.3,17780,250400,10.855924
2026-09-03 11:20:00,ATM-3,CE,76400.0,76712.09,728.35,1720,26300,10.771848
2026-09-03 11:20:00,ATM-2,CE,76500.0,76712.09,660.35,5460,172840,10.661979
2026-09-03 11:20:00,ATM-1,CE,76600.0,76712.09,600.0,4960,32280,10.661925
2026-09-03 11:20:00,ATM,CE,76700.0,76712.09,537.8,15820,58920,10.538379
2026-09-03 11:20:00,ATM+1,CE,76800.0,76712.09,483.1,5820,88880,10.511953
2026-09-03 11:20:00,ATM+2,CE,76900.0,76712.09,428.55,3700,67500,10.407481
2026-09-03 11:20:00,ATM+3,CE,77000.0,76712.09,378.8,43040,351780,10.332021
2026-09-03 11:20:00,ATM-3,PE,76400.0,76712.09,282.95,2560,46800,11.195182
2026-09-03 11:20:00,ATM-2,PE,76500.0,76712.09,315.6,9280,201700,11.093772
2026-09-03 11:20:00,ATM-1,PE,76600.0,76712.09,352.6,7120,59880,11.024974
2026-09-03 11:20:00,ATM,PE,76700.0,76712.09,393.5,21000,60180,10.973273
2026-09-03 11:20:00,ATM+1,PE,76800.0,76712.09,437.15,5420,75200,10.90898
2026-09-03 11:20:00,ATM+2,PE,76900.0,76712.09,485.35,6120,61420,10.872543
2026-09-03 11:20:00,ATM+3,PE,77000.0,76712.09,535.25,26580,255560,10.796305
2026-09-03 11:25:00,ATM-3,CE,76400.0,76745.69,750.25,1440,26140,10.765576
2026-09-03 11:25:00,ATM-2,CE,76500.0,76745.69,684.95,4540,172660,10.74858
2026-09-03 11:25:00,ATM-1,CE,76600.0,76745.69,619.8,2260,32560,10.657463
2026-09-03 11:25:00,ATM,CE,76700.0,76745.69,556.15,24400,51680,10.526177
2026-09-03 11:25:00,ATM+1,CE,76800.0,76745.69,500.0,10420,86580,10.493325
2026-09-03 11:25:00,ATM+2,CE,76900.0,76745.69,440.35,4280,67300,10.297662
2026-09-03 11:25:00,ATM+3,CE,77000.0,76745.69,394.95,16320,351460,10.351548
2026-09-03 11:25:00,ATM-3,PE,76400.0,76745.69,265.2,1820,48200,11.037847
2026-09-03 11:25:00,ATM-2,PE,76500.0,76745.69,295.0,7420,201340,10.895714
2026-09-03 11:25:00,ATM-1,PE,76600.0,76745.69,333.0,4120,60760,10.881542
2026-09-03 11:25:00,ATM,PE,76700.0,76745.69,368.4,15300,67020,10.728271
2026-09-03 11:25:00,ATM+1,PE,76800.0,76745.69,410.6,5560,75700,10.659032
2026-09-03 11:25:00,ATM+2,PE,76900.0,76745.69,460.0,3260,60640,10.678088
2026-09-03 11:25:00,ATM+3,PE,77000.0,76745.69,505.0,7860,257560,10.513463
2026-09-03 11:30:00,ATM-3,CE,76500.0,76764.0,687.2,8400,174860,10.516042
2026-09-03 11:30:00,ATM-2,CE,76600.0,76764.0,621.2,2260,32320,10.42495
2026-09-03 11:30:00,ATM-1,CE,76700.0,76764.0,560.0,8020,48560,10.371055
2026-09-03 11:30:00,ATM,CE,76800.0,76764.0,502.95,13740,89480,10.334089
2026-09-03 11:30:00,ATM+1,CE,76900.0,76764.0,448.4,3340,67280,10.273136
2026-09-03 11:30:00,ATM+2,CE,77000.0,76764.0,395.6,22600,351480,10.169354
2026-09-03 11:30:00,ATM+3,CE,77100.0,76764.0,350.0,1160,36540,10.148911
2026-09-03 11:30:00,ATM-3,PE,76500.0,76764.0,288.35,10460,203180,10.896996
2026-09-03 11:30:00,ATM-2,PE,76600.0,76764.0,324.15,3260,60800,10.843886
2026-09-03 11:30:00,ATM-1,PE,76700.0,76764.0,361.5,8160,67740,10.751637
2026-09-03 11:30:00,ATM,PE,76800.0,76764.0,404.0,4800,76120,10.703665
2026-09-03 11:30:00,ATM+1,PE,76900.0,76764.0,447.9,2320,60640,10.609062
2026-09-03 11:30:00,ATM+2,PE,77000.0,76764.0,497.05,7980,258900,10.556127
2026-09-03 11:30:00,ATM+3,PE,77100.0,76764.0,553.1,2480,18860,10.583181
2026-09-03 11:35:00,ATM-3,CE,76500.0,76775.36,691.3,6080,174100,10.437961
2026-09-03 11:35:00,ATM-2,CE,76600.0,76775.36,626.3,3840,31820,10.382514
2026-09-03 11:35:00,ATM-1,CE,76700.0,76775.36,562.55,8400,47500,10.278034
2026-09-03 11:35:00,ATM,CE,76800.0,76775.36,499.0,11620,91960,10.099198
2026-09-03 11:35:00,ATM+1,CE,76900.0,76775.36,448.8,5600,67300,10.150674
2026-09-03 11:35:00,ATM+2,CE,77000.0,76775.36,395.4,19220,348760,10.042259
2026-09-03 11:35:00,ATM+3,CE,77100.0,76775.36,348.25,1880,36360,9.993632
2026-09-03 11:35:00,ATM-3,PE,76500.0,76775.36,288.35,16240,199960,11.000145
2026-09-03 11:35:00,ATM-2,PE,76600.0,76775.36,325.0,5440,60820,10.973647
2026-09-03 11:35:00,ATM-1,PE,76700.0,76775.36,361.0,10820,67300,10.855472
2026-09-03 11:35:00,ATM,PE,76800.0,76775.36,401.35,7700,76140,10.764658
2026-09-03 11:35:00,ATM+1,PE,76900.0,76775.36,449.3,5220,64120,10.773139
2026-09-03 11:35:00,ATM+2,PE,77000.0,76775.36,495.6,10020,261220,10.663086
2026-09-03 11:35:00,ATM+3,PE,77100.0,76775.36,535.25,720,18840,10.31405
2026-09-03 11:40:00,ATM-3,CE,76500.0,76768.3,686.35,3460,174300,10.432532
2026-09-03 11:40:00,ATM-2,CE,76600.0,76768.3,618.6,740,31480,10.304635
2026-09-03 11:40:00,ATM-1,CE,76700.0,76768.3,561.6,4020,48180,10.356807
2026-09-03 11:40:00,ATM,CE,76800.0,76768.3,500.3,9040,93500,10.223812
2026-09-03 11:40:00,ATM+1,CE,76900.0,76768.3,448.0,3560,67500,10.219473
2026-09-03 11:40:00,ATM+2,CE,77000.0,76768.3,394.95,16980,349820,10.113214
2026-09-03 11:40:00,ATM+3,CE,77100.0,76768.3,348.7,1020,36600,10.080336
2026-09-03 11:40:00,ATM-3,PE,76500.0,76768.3,289.35,7600,202000,10.96422
2026-09-03 11:40:00,ATM-2,PE,76600.0,76768.3,324.5,2500,61160,10.896886
2026-09-03 11:40:00,ATM-1,PE,76700.0,76768.3,363.2,8040,69960,10.838942
2026-09-03 11:40:00,ATM,PE,76800.0,76768.3,404.6,4460,76840,10.767384
2026-09-03 11:40:00,ATM+1,PE,76900.0,76768.3,452.2,3380,64640,10.761997
2026-09-03 11:40:00,ATM+2,PE,77000.0,76768.3,499.1,7100,261240,10.660137
2026-09-03 11:40:00,ATM+3,PE,77100.0,76768.3,555.0,880,18720,10.687975
2026-09-03 11:45:00,ATM-3,CE,76500.0,76766.06,682.55,3760,174820,10.37738
2026-09-03 11:45:00,ATM-2,CE,76600.0,76766.06,618.25,1760,31520,10.333255
2026-09-03 11:45:00,ATM-1,CE,76700.0,76766.06,551.9,7700,49880,10.160373
2026-09-03 11:45:00,ATM,CE,76800.0,76766.06,496.95,7140,95060,10.177279
2026-09-03 11:45:00,ATM+1,CE,76900.0,76766.06,445.75,5920,67940,10.196944
2026-09-03 11:45:00,ATM+2,CE,77000.0,76766.06,391.3,15200,350180,10.055913
2026-09-03 11:45:00,ATM+3,CE,77100.0,76766.06,348.2,4180,36740,10.094798
2026-09-03 11:45:00,ATM-3,PE,76500.0,76766.06,293.25,7740,202820,11.043261
2026-09-03 11:45:00,ATM-2,PE,76600.0,76766.06,330.0,9240,61020,11.010891
2026-09-03 11:45:00,ATM-1,PE,76700.0,76766.06,368.95,6920,71980,10.954894
2026-09-03 11:45:00,ATM,PE,76800.0,76766.06,409.75,12440,79220,10.865993
2026-09-03 11:45:00,ATM+1,PE,76900.0,76766.06,446.0,3340,64740,10.593539
2026-09-03 11:45:00,ATM+2,PE,77000.0,76766.06,504.0,4300,261960,10.748791
2026-09-03 11:45:00,ATM+3,PE,77100.0,76766.06,555.0,2980,18520,10.660018
2026-09-03 11:50:00,ATM-3,CE,76400.0,76749.48,750.0,2000,25320,10.713162
2026-09-03 11:50:00,ATM-2,CE,76500.0,76749.48,675.75,1640,175500,10.478399
2026-09-03 11:50:00,ATM-1,CE,76600.0,76749.48,610.05,2640,31740,10.384075
2026-09-03 11:50:00,ATM,CE,76700.0,76749.48,550.45,2580,51660,10.357099
2026-09-03 11:50:00,ATM+1,CE,76800.0,76749.48,490.55,2640,96400,10.241383
2026-09-03 11:50:00,ATM+2,CE,76900.0,76749.48,439.2,5340,67880,10.243144
2026-09-03 11:50:00,ATM+3,CE,77000.0,76749.48,386.05,5360,351600,10.118331
2026-09-03 11:50:00,ATM-3,PE,76400.0,76749.48,266.3,2920,49580,11.108593
2026-09-03 11:50:00,ATM-2,PE,76500.0,76749.48,299.0,4860,204200,11.038871
2026-09-03 11:50:00,ATM-1,PE,76600.0,76749.48,334.7,2840,62220,10.968532
2026-09-03 11:50:00,ATM,PE,76700.0,76749.48,371.9,7560,73340,10.859022
2026-09-03 11:50:00,ATM+1,PE,76800.0,76749.48,414.2,2500,81040,10.793394
2026-09-03 11:50:00,ATM+2,PE,76900.0,76749.48,460.3,4900,65000,10.73773
2026-09-03 11:50:00,ATM+3,PE,77000.0,76749.48,510.0,1780,261920,10.685847
2026-09-03 11:55:00,ATM-3,CE,76400.0,76747.17,732.35,620,25300,10.301539
2026-09-03 11:55:00,ATM-2,CE,76500.0,76747.17,667.75,4000,175680,10.31962
2026-09-03 11:55:00,ATM-1,CE,76600.0,76747.17,606.7,3300,33500,10.340543
2026-09-03 11:55:00,ATM,CE,76700.0,76747.17,540.85,7700,53380,10.164152
2026-09-03 11:55:00,ATM+1,CE,76800.0,76747.17,487.6,5080,97960,10.204796
